Archivo,Origen,Destino,Estado,Palabras clave
K484-0000-0000-MR-4100-01-C3808-CA1109-0005_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0005_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0005_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0006_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0006_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0006_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0007_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0007_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0007_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0008_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0008_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0008_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0009_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0009_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0009_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0010_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0010_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0010_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0011_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0011_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0011_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0012_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0012_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0012_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0013_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0013_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0013_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0014_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0014_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0014_1_CMTD.pdf,duplicado-sustituido,
